model,condition,skill,classifier,intro_strategy,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,kappa_mean,kappa_std,n_samples,feature_dim,elapsed_s,f1_fail_mean,f1_pass_mean,prec_fail_mean,prec_pass_mean,rec_fail_mean,rec_pass_mean,f1_fail_std,f1_pass_std,_macro_f1_folds
qwen3-4b,C1a,react,nominal,none,0.8111018214377861,0.006333353232446266,0.8316097261588187,0.005845114627382183,0.16913770824048463,0.006099872599656792,0.6222917773446686,0.012643117701460047,6338,2560,4.8,0.8721812361178193,0.750022406757753,0.8804078816917432,0.7368218742720898,0.8641624869864716,0.763895486935867,0.005017995872521669,0.007924497138523062,"[0.8156488734589471, 0.802173799989599, 0.8088644881138416, 0.8204634491956322, 0.8083584964309106]"
qwen3-4b,C1a,javascript,nominal,none,0.7664391622100165,0.018884544272141184,0.8797161114895671,0.010178248853628153,0.12338244045025508,0.010770318727836995,0.5332425964716455,0.03772555199272008,6338,2560,5.1,0.9268480983783325,0.6060302260417006,0.9375657464608018,0.5714724296758751,0.9164015998057525,0.6456040480708412,0.006513442353100309,0.03144111839940385,"[0.7338080812700915, 0.7913181536555143, 0.7636235616522936, 0.7675032465699283, 0.7759427679022552]"
qwen3-4b,C1a,html_css,nominal,none,0.8114780097120905,0.004763211065139492,0.8743080741436667,0.003630805605514443,0.1273271519947017,0.004276811576133003,0.6231334931887738,0.009453140273936154,6338,2560,4.2,0.9188723245106951,0.7040836949134861,0.9279701279616914,0.6804679615419846,0.9100150641216229,0.7300380228136881,0.0030859394794340157,0.007124825706905983,"[0.8061873318659819, 0.8133478401989513, 0.816840004202122, 0.8054419475655431, 0.8155729247278543]"
qwen3-4b,C1b,react,nominal,concat,0.793814727089104,0.012269939091690867,0.8160362903165813,0.010880683638853644,0.18491966666583676,0.0108791800149725,0.5877713146625331,0.024536157996921125,6338,5120,5.0,0.8600019245956517,0.7276275295825562,0.8698552553717074,0.7122756614141155,0.8504581599359163,0.7439429928741094,0.00827203860288417,0.016627576384984535,"[0.801805875375061, 0.79049806276797, 0.8133519646888819, 0.7829520335985853, 0.7804656990150213]"
qwen3-4b,C1b,react,nominal,average,0.7873382418309249,0.011730695021379875,0.8105450470806831,0.01072335373473929,0.19012658133298804,0.011149747799047222,0.5748829643122298,0.023504793798450246,6338,2560,3.9,0.8564600981454161,0.7182163855164336,0.8636107212329099,0.7081140257550673,0.8497492191882907,0.7296912114014251,0.00924859889469255,0.015451401165456758,"[0.7999488316561487, 0.787160720170403, 0.8007564396612562, 0.7716927256597915, 0.7771324920070248]"
qwen3-4b,C1b,javascript,nominal,concat,0.7452972406522398,0.01112416804218972,0.8702552587583645,0.004818599567354352,0.13174492516911954,0.004960267990660283,0.4908662243357396,0.022496011512110236,6338,5120,5.0,0.9222367818916994,0.5683576994127801,0.9288209599348338,0.5483725768072285,0.9158469001626139,0.5918406072106261,0.0030863716385401718,0.020752089858320465,"[0.7424427079599494, 0.7476213839013488, 0.7285636872280592, 0.7445443332226387, 0.7633140909492031]"
qwen3-4b,C1b,javascript,nominal,average,0.723695919028279,0.008972686096619593,0.8581989174768602,0.005112250989757761,0.14499886714188612,0.0060684517522957716,0.4477689777065372,0.017896085623689318,6338,2560,4.9,0.9141529262013884,0.5332389118551695,0.9234213738702538,0.5064057269368052,0.9051205411570379,0.5639238686677016,0.003912908741988437,0.015155024077845023,"[0.7175370994421457, 0.7339749381214384, 0.7124468984318438, 0.7345748930353118, 0.7199457661106554]"
qwen3-4b,C1b,html_css,nominal,concat,0.8004663154668826,0.011566241307052392,0.8675324235864679,0.007731145414758373,0.1336412798557909,0.008072456696919014,0.6010870147607749,0.02321801354419577,6338,5120,4.6,0.9151027425614849,0.6858298883722803,0.9213985500769851,0.6702125900246736,0.909016471427722,0.7034220532319391,0.005338775088429401,0.01853877206271007,"[0.8108008859717858, 0.807325199225609, 0.8113095238095238, 0.7879378941807352, 0.7849580741467594]"
qwen3-4b,C1b,html_css,nominal,average,0.7852757589778298,0.007566556262684352,0.8567640333726239,0.004808238664121459,0.145157840747537,0.00498711468264141,0.5707910483535553,0.015259671821395454,6338,2560,3.9,0.9074702976160312,0.6630812203396286,0.9169702632497108,0.6398680727869672,0.8982674278012329,0.6889733840304183,0.0033948199887082024,0.012854954117617619,"[0.7919606234618539, 0.7873995760580517, 0.7938466140769596, 0.7740777889223225, 0.7790941923699615]"
qwen3-4b,C2a,react,nominal,none,0.7981139989912369,0.01036006615929185,0.8203123895977505,0.00934034173544115,0.18018544015894872,0.00955991742852804,0.5963619565019262,0.020743562949415636,6338,2560,5.2,0.8642319619580361,0.731996036024438,0.8698100481788462,0.7238232372933866,0.85896461157583,0.7410926365795725,0.007744520336554274,0.013938820217463609,"[0.7980799652050692, 0.8140912454971783, 0.8009201742050869, 0.7817487078882455, 0.7957299021606052]"
qwen3-4b,C2a,javascript,nominal,none,0.7444820163076175,0.007552545582982235,0.8683686878094747,0.004901291558437431,0.13506034025580185,0.006282300696560257,0.48942036502530195,0.014924895073730642,6338,2560,5.4,0.9199030145777151,0.5690610180375199,0.9307436097811713,0.5365475537483972,0.9093731244261065,0.6068483698464723,0.004125460431629788,0.011957748446898822,"[0.7497665905369053, 0.7565469398105381, 0.7411074975572052, 0.7386517269790155, 0.7363373266544233]"
