model,condition,skill,classifier,intro_strategy,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,kappa_mean,kappa_std,n_samples,feature_dim,elapsed_s,f1_fail_mean,f1_pass_mean,prec_fail_mean,prec_pass_mean,rec_fail_mean,rec_pass_mean,f1_fail_std,f1_pass_std,_macro_f1_folds
jina-v5-small,C1a,react,nominal,none,0.7719798298029282,0.0033226446910754655,0.7945857685178044,0.002751561996780501,0.20810902327712197,0.002824706324287741,0.5448406198221025,0.006817231334393619,6338,1024,2.3,0.8393075041055802,0.704652155500276,0.8665691661983155,0.6665668305049902,0.813842486763183,0.7477434679334917,0.002771504642940978,0.005891420172760626,"[0.7705411707500359, 0.7691429391344722, 0.7690133349707817, 0.7778434458830499, 0.773358258276301]"
jina-v5-small,C1a,javascript,nominal,none,0.7208672624386965,0.0032758442640338334,0.8508245856996304,0.0022584184222992046,0.1577791250351684,0.003923647898661663,0.44400945378720114,0.006939208300666309,6338,1024,2.6,0.9048863457505917,0.5368481791268012,0.9313570872287016,0.47236578479251135,0.8799684005875301,0.622994652406417,0.0029999260202693123,0.0074489529170468985,"[0.7199584796484021, 0.7157744817763922, 0.7230231542158148, 0.7255150764877532, 0.72006512006512]"
jina-v5-small,C1a,html_css,nominal,none,0.78018860726916,0.014634868144018633,0.8511333802323332,0.010137289550020209,0.1528890371701951,0.010716296173628037,0.5611382714273304,0.02916670873308388,6338,1024,2.1,0.9014541903625105,0.6589230241758095,0.9212789273712894,0.613875429271241,0.882539890190482,0.711787072243346,0.007147575790671121,0.022593025631294724,"[0.7884993685481372, 0.7652286613590076, 0.8047999683110986, 0.7735515658050869, 0.7688634723224697]"
jina-v5-small,C1b,react,nominal,concat,0.7559500333667148,0.012716087201238097,0.7820071017060999,0.012474646226104074,0.2193109981849372,0.013586268369963702,0.5122019510645222,0.02518688627746439,6338,2048,3.6,0.8335572470278662,0.6783428197055639,0.8445775747844037,0.6626919421571907,0.8230584373717835,0.6954869358669834,0.012114389479216182,0.013612723063961645,"[0.7611790931912035, 0.7457291762910341, 0.753297180941342, 0.741877841975041, 0.7776668744349544]"
jina-v5-small,C1b,react,nominal,average,0.7654769572523005,0.006453553512067926,0.788688552085614,0.005247792596839247,0.2141061998461305,0.004964960690642154,0.5318905904351103,0.0132397491510997,6338,1024,1.5,0.8346126224841048,0.6963412920204963,0.8622119739549193,0.6581634441296982,0.8088860419614772,0.7396674584323041,0.003476403992173325,0.010468910907532667,"[0.7643225750021867, 0.76950483530866, 0.7718288973795582, 0.7535231260461455, 0.7682053525249524]"
jina-v5-small,C1b,javascript,nominal,concat,0.7220473241663461,0.020713822506853552,0.8559404694085619,0.011161796392941428,0.14862874372259666,0.012192337831598121,0.4447534515557857,0.041241350548341944,6338,2048,2.8,0.9116299523673905,0.5324646959653014,0.9248329035193403,0.4957103353081195,0.8988346861689303,0.5756713242481742,0.007457333027532108,0.034313964453209195,"[0.754627560947291, 0.6942790262172285, 0.7233273120741152, 0.7069065714269593, 0.7310961501661362]"
jina-v5-small,C1b,javascript,nominal,average,0.6859124987768167,0.01496661765425797,0.8301432718229937,0.00799523215085417,0.1812876737567816,0.008748967652998325,0.37524859254000564,0.02978866915204766,6338,1024,2.0,0.8901376433454521,0.4816873542081813,0.9214297825181648,0.4153384482968647,0.8609230858672996,0.5735495371168995,0.005372756548580103,0.024882181444202685,"[0.7064045434687637, 0.6610047678578194, 0.6922718230943441, 0.6806192566693838, 0.6892621027937726]"
jina-v5-small,C1b,html_css,nominal,concat,0.7590686795149395,0.010254326990212491,0.8398789951976774,0.007556248156536801,0.16172495698873862,0.008401493080128025,0.5182818221675977,0.020447554348593137,6338,2048,2.6,0.8971968489646184,0.6209405100652605,0.9038394903093225,0.6051691206048038,0.8907004816554677,0.6380228136882129,0.005744087948076781,0.015072201313983912,"[0.7589605759217066, 0.7565190675525174, 0.7784353710012722, 0.749200879765396, 0.7522275033338051]"
jina-v5-small,C1b,html_css,nominal,average,0.7311914084169538,0.01606357375572144,0.815912911738241,0.012156358354051208,0.19075712268977862,0.013606536015078698,0.46408930249728064,0.031563555297756646,6338,1024,1.7,0.8760055299530245,0.586377286880883,0.9029906120652719,0.5339416245737446,0.8506844264732116,0.6509505703422054,0.009559756722151347,0.023078226729661915,"[0.7182461549812585, 0.7526897378261288, 0.7488033410076564, 0.7201026755568674, 0.7161151327128576]"
jina-v5-small,C2a,react,nominal,none,0.7675534303248674,0.008913173903810473,0.7908348485855317,0.008494039024068527,0.21173603659007217,0.00900856165301603,0.5358766258855517,0.017543925722896026,6338,1024,2.4,0.836893316382716,0.698213544267019,0.8616705928596075,0.6633246764399086,0.8136116623544088,0.73729216152019,0.00789910006909628,0.010416097529215658,"[0.7675491796047988, 0.764543597633764, 0.7529576031778675, 0.7795263178366781, 0.773190453371229]"
